timestamp,model_name,prompt,prompt_tokens,completion_tokens,total_tokens,response_time_ms,tokens_per_second,temperature,cpu_model,cpu_cores,cpu_usage_percent,cpu_speed,total_memory_gb,memory_usage_percent,gpu_model,gpu_vendor,os
2025-03-17T20:13:18.072Z,hermes-3-llama-3.2-3b,What is javascript?,157,24,181,631,286.79,0.5,AMD Ryzen 5 5600 6-Core Processor,12,53.1,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T20:14:57.420Z,hermes-3-llama-3.2-3b,What is javascript,287,76,363,1967,184.57,0.5,AMD Ryzen 5 5600 6-Core Processor,12,54.77,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T20:15:24.860Z,hermes-3-llama-3.2-3b,What is JavaScript?,445,57,502,1738,288.89,0.5,AMD Ryzen 5 5600 6-Core Processor,12,50.58,3500,32,72,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T20:16:20.713Z,hermes-3-llama-3.2-3b,What is Python?,470,124,594,3338,177.93,0.5,AMD Ryzen 5 5600 6-Core Processor,12,52,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T20:18:04.158Z,hermes-3-llama-3.2-3b,What is Calculus?,158,45,203,1189,170.7,0.5,AMD Ryzen 5 5600 6-Core Processor,12,44.83,3500,32,70,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T20:19:04.059Z,hermes-3-llama-3.2-3b,What is Calculus?,283,67,350,1832,191,0.5,AMD Ryzen 5 5600 6-Core Processor,12,53.95,3500,32,69,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T20:25:43.426Z,hermes-3-llama-3.2-3b,I'm stuck in the there what is calculus.,288,59,347,1417,244.82,0.5,AMD Ryzen 5 5600 6-Core Processor,12,0,3500,32,71,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:16:58.992Z,hermes-3-llama-3.2-3b,What is python?,470,78,548,1183,463.28,0.5,AMD Ryzen 5 5600 6-Core Processor,12,0,3500,32,63,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:17:39.590Z,hermes-3-llama-3.2-3b,Hello,154,9,163,251,650.48,0.5,AMD Ryzen 5 5600 6-Core Processor,12,39.29,3500,32,66,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
2025-03-17T23:22:12.855Z,hermes-3-llama-3.2-3b,Hello,154,9,163,229,712.9,0.5,AMD Ryzen 5 5600 6-Core Processor,12,45.95,3500,32,66,Meta Virtual Monitor,Meta Inc.,Windows_NT-10.0.26100
